&BOXOKMC18
&VERSION                     2020_06_07

&UDEFSECTION
&BATCHNUM  3
&ENDUDEFSECTION


&TIME           (in s)      0.0000000E+00
&ISTEP                      0
&TSTEP           (in s)      0.0000000E+00
&IPATCH                     1
&ITIMESECTION               1
 
&LATT     lattice length(in A):      3.1652000E+00
&BOXLOW                (in LU):    -1.00000000E+02  -1.00000000E+02  -1.00000000E+02
&BOXSIZE               (in LU):    2.00000000E+02   2.00000000E+02   2.00000000E+02
&NGRAIN        0
!                Seed ID          x(LU)          y(LU)          z(LU)
&BOXSEINDEX                IBox      SEUsedIndexFrom        SEUsedIndexTo      SEExpdIndexFrom        SEExpdIndexTo   SEVirtualIndexFrom     SEVirtualIndexTo
                  137               1               0               0               1               8               0   3.38106534E+00   2.39190383E+00  -1.09812039E+01               0               0               3               0
                  137               1               0               0               1               9               0   4.70950398E+00   7.67044105E+00  -1.06673891E+01               0               0               1               0
                  137               1               0               0               1              10               0   4.69154809E+00   7.19237773E+00  -8.19959434E+00               0               0               2               0
                  137               1               0               0               1              11               0  -3.22442247E+00  -1.01812903E+01  -6.69447365E+00               0               0               1               0
                  137               1               0               0               1              12               0   1.72922217E+00   2.72651839E+00  -6.67413686E+00               0               0               1               0
                  137               1               0               0               1              13               0   6.43535322E+00  -3.48870150E+00  -5.44187634E+00               0               0               2               0
                  137               1               0               0               1              14               0   7.18811197E+00  -3.72123531E+00  -3.23374763E+00               0               0               1               0
                  137               1               0               0               1              15               0   2.71798686E+00   6.69864021E+00  -2.73514912E+00               0               0               1               0
                  137               1               0               0               1              16               0  -1.01773221E+01  -2.23506256E+00   2.64874258E-01               0               0               1               0
                  137               1               0               0               1              17               0  -5.19748768E+00  -2.23516176E+00   2.42196259E-01               0               0               1               0
                  137               1               0               0               1              18               0  -7.21350815E+00  -5.21276507E+00  -1.56394857E+01               0               0               0               1
                  137               1               0               0               1              19               0   7.36886137E-01  -8.17836472E+00  -1.26603943E+01               0               0               0               1
                  137               1               0               0               1              20               0  -2.44785480E-01  -4.20882219E+00  -1.26465058E+01               0               0               0               1
                  137               1               0               0               1              21               0  -2.37523758E-01  -2.25083597E+00  -1.26355933E+01               0               0               0               1
                  137               1               0               0               1              22               0   2.35490080E-01  -7.39534879E-01  -1.31554215E+01               0               0               0               1
                  137               1               0               0               1              23               0  -2.24617339E+00  -4.23243271E+00  -1.06336598E+01               0               0               0               1
                  137               1               0               0               1              24               0  -2.74189498E+00   1.22744913E+00  -1.11644004E+01               0               0               0               1
                  137               1               0               0               1              25               0  -1.24279597E+00  -1.74663244E+00  -1.01639296E+01               0               0               0               2
                  137               1               0               0               1              26               0   2.66709529E-01  -2.72334386E+00  -9.17923228E+00               0               0               0               1
                  137               1               0               0               1              27               0   2.44973967E-01   2.44815241E-01  -9.17923228E+00               0               0               0               1
                  137               1               0               0               1              28               0  -7.57381650E-01   2.22553899E+00  -9.18488689E+00               0               0               0               1
                  137               1               0               0               1              29               0  -3.73304057E+00  -7.15656515E-01  -8.20128080E+00               0               0               0               1
                  137               1               0               0               1              30               0  -2.55836788E-01   2.73862126E+00  -7.67738532E+00               0               0               0               1
                  137               1               0               0               1              31               0  -2.74407747E+00  -3.72103690E+00  -7.19079047E+00               0               0               0               1
                  137               1               0               0               1              32               0  -3.22233919E+00  -2.81133767E-01  -6.69159674E+00               0               0               0               1
                  137               1               0               0               1              33               0  -2.24240364E+00  -4.21209592E+00  -5.68745545E+00               0               0               0               1
                  137               1               0               0               1              34               0  -2.24637179E+00  -2.22653102E+00  -5.69251485E+00               0               0               0               1
                  137               1               0               0               1              35               0   2.38535638E-01  -7.55645583E-01  -2.22236446E+00               0               0               0               1
                  137               1               0               0               1              36               0   2.36025780E-01  -2.72919689E+00  -1.22606028E+00               0               0               0               1
                  137               1               0               0               1              37               0   2.46521547E-01   2.62721534E-01  -2.44924365E-01               0               0               0               1
                  138               1               0               0               1               1               0  -5.21365790E+00  -3.23176355E+00   1.25453178E+00               0               0               1               0
                  138               1               0               0               1               2               0   2.22722545E+00  -8.67745924E+00   2.74149817E+00               0               0               1               0
                  138               1               0               0               1               3               0  -4.70563503E+00  -4.71416656E+00   2.70469354E+00               0               0               1               0
                  138               1               0               0               1               4               0  -1.12598344E+01  -9.26651182E+00   4.51804057E+00               0               0               5               0
                  138               1               0               0               1               5               0   2.60712656E-01  -6.19339505E+00   4.23327594E+00               0               0               2               0
                  138               1               0               0               1               6               0  -1.01683938E+01  -3.23850941E+00   4.19265197E+00               0               0               1               0
                  138               1               0               0               1               7               0  -1.51137053E+01  -9.16861746E+00   7.18225894E+00               0               0               1               0
                  138               1               0               0               1               8               0   2.22816789E+00  -1.01812903E+01   6.69055510E+00               0               0               2               0
                  138               1               0               0               1               9               0  -1.88432737E+01  -1.04218596E+01   9.91180305E+00               0               0               2               0
                  138               1               0               0               1              10               0  -7.19376659E+00  -2.24041956E+00   9.17982750E+00               0               0               1               0
                  138               1               0               0               1              11               0   1.26355933E+01  -2.24002275E+00   9.15095918E+00               0               0               1               0
                  138               1               0               0               1              12               0   1.24421458E+00  -8.66228106E+00   1.16256982E+01               0               0               1               0
                  138               1               0               0               1              13               0  -5.96051403E+00  -8.44452862E+00   1.33821022E+01               0               0               2               0
                  138               1               0               0               1              14               0   9.16544294E+00  -7.69405156E+00   1.26425376E+01               0               0               1               0
                  138               1               0               0               1              15               0  -2.73362800E+00   2.88994018E+00   1.42860146E+01               0               0               3               0
                  138               1               0               0               1              16               0  -6.69834260E+00  -8.19498136E+00   1.56275812E+01               0               0               2               0
                  138               1               0               0               1              17               0  -1.95907747E+01  -1.76275306E+01   2.35440478E+01               0               0               1               0
                  138               1               0               0               1              18               0   7.26013396E-01   7.77133135E-01   2.49934159E-01               0               0               0               1
                  138               1               0               0               1              19               0  -7.58750663E-01  -7.10507835E-01   1.71414318E+00               0               0               0               1
                  138               1               0               0               1              20               0  -5.70193921E+00  -4.71535701E+00   5.69430052E+00               0               0               0               1
                  138               1               0               0               1              21               0  -5.69707823E+00  -3.72312018E+00   4.70712309E+00               0               0               0               1
                  138               1               0               0               1              22               0   7.45417667E-01  -2.64110388E-01   5.22179262E+00               0               0               0               1
                  138               1               0               0               1              23               0  -1.56196449E+01  -1.16604196E+01   6.68683496E+00               0               0               0               1
                  138               1               0               0               1              24               0  -1.36196954E+01  -9.68745356E+00   6.70608050E+00               0               0               0               1
                  138               1               0               0               1              25               0   2.72304625E+00  -1.24649627E+00   6.19686718E+00               0               0               0               1
                  138               1               0               0               1              26               0   4.70593264E+00  -2.33347277E-01   6.19111336E+00               0               0               0               1
                  138               1               0               0               1              27               0  -7.21241691E+00  -1.11524959E+01   8.19989195E+00               0               0               0               1
                  138               1               0               0               1              28               0  -3.70943005E+00  -6.69368002E+00   7.68651207E+00               0               0               0               1
                  138               1               0               0               1              29               0   1.23721575E+00  -2.23228485E+00   8.19815588E+00               0               0               0               2
                  138               1               0               0               1              30               0   4.18942784E+00   3.71468786E+00   7.68809933E+00               0               0               0               2
                  138               1               0               0               1              31               0  -6.68266839E+00  -8.69253823E+00   9.66552951E+00               0               0               0               1
                  138               1               0               0               1              32               0  -1.06892140E+01  -6.69437445E+00   9.66989448E+00               0               0               0               1
                  138               1               0               0               1              33               0  -6.21045811E+00  -7.20666309E+00   1.01485530E+01               0               0               0               1
                  138               1               0               0               1              34               0  -3.22263680E+00  -5.18846013E+00   1.01723619E+01               0               0               0               1
                  138               1               0               0               1              35               0   1.72862694E+00   1.72604764E+00   1.01654177E+01               0               0               0               1
                  138               1               0               0               1              36               0  -1.01723619E+01  -9.16851826E+00   1.11505118E+01               0               0               0               1
                  138               1               0               0               1              37               0  -1.16564514E+01  -8.68847087E+00   1.06733413E+01               0               0               0               1
                  138               1               0               0               1              38               0  -9.68537028E+00  -7.67490522E+00   1.06425881E+01               0               0               0               1
                  138               1               0               0               1              39               0  -8.68817326E+00  -8.68251864E+00   1.06475483E+01               0               0               0               1
                  138               1               0               0               1              40               0  -2.70747125E+00  -7.70049981E+00   1.16653798E+01               0               0               0               1
                  138               1               0               0               1              41               0  -1.16594275E+01  -6.66550613E+00   1.16594275E+01               0               0               0               1
                  138               1               0               0               1              42               0  -1.73953937E+00  -3.72183053E+00   1.16584355E+01               0               0               0               1
                  138               1               0               0               1              43               0   4.72091242E+00   1.71573044E+00   1.11763048E+01               0               0               0               1
                  139               1               0               0               1               1               0  -8.94526002E+00   8.68623878E+00  -1.21457744E+01               0               0               4               0
                  139               1               0               0               1               2               0   4.67726273E+00   1.26772589E+01  -1.26484898E+01               0               0               1               0
                  139               1               0               0               1               3               0   1.24324569E+00   9.84240996E+00  -8.84984245E+00               0               0               3               0
                  139               1               0               0               1               4               0   2.71382030E+00  -2.20242449E+00  -7.68770251E+00               0               0               1               0
                  139               1               0               0               1               5               0  -3.73403260E+00   4.20148111E+00  -3.22392645E+00               0               0               1               0
                  139               1               0               0               1               6               0  -3.22452167E+00   1.95758941E+01   2.53376532E-01               0               0               1               0
                  139               1               0               0               1               7               0   7.69137306E+00   1.06584608E+01   5.22705042E+00               0               0               1               0
                  139               1               0               0               1               8               0   1.21415582E+01  -6.71510805E+00   1.06723493E+01               0               0               1               0
                  139               1               0               0               1               9               0  -2.71768925E+00   1.70749652E+01   1.16604196E+01               0               0               1               0
                  139               1               0               0               1              10               0  -2.24230444E+00   1.06604448E+01  -1.16683559E+01               0               0               0               1
                  139               1               0               0               1              11               0  -4.71396815E+00   6.17950651E+00  -1.02110514E+01               0               0               0               1
                  139               1               0               0               1              12               0  -5.23568116E+00   1.06515165E+01  -9.67416024E+00               0               0               0               1
                  139               1               0               0               1              13               0  -1.25086124E+00   1.71563124E+00  -8.69362947E+00               0               0               0               1
                  139               1               0               0               1              14               0  -3.19912549E+00   4.72031720E+00  -8.67398711E+00               0               0               0               1
                  139               1               0               0               1              15               0  -5.21385631E+00   9.66751359E+00  -7.66567926E+00               0               0               0               1
                  139               1               0               0               1              16               0  -2.25956590E+00   4.70920637E+00  -6.67701377E+00               0               0               0               1
                  139               1               0               0               1              17               0  -2.74913686E+00   6.19359345E+00  -7.18513585E+00               0               0               0               1
                  139               1               0               0               1              18               0  -4.23421837E+00   5.69092759E+00  -4.71287691E+00               0               0               0               1
                  139               1               0               0               1              19               0  -2.55182042E-01   2.73078415E+00  -3.73383420E+00               0               0               0               1
                  139               1               0               0               1              20               0  -2.37950335E-01   3.73194932E+00  -2.73614116E+00               0               0               0               1
                  139               1               0               0               1              21               0   7.56141602E-01   8.67319348E+00  -1.72525401E+00               0               0               0               1
                  139               1               0               0               1              22               0   2.54070959E-01   1.01763301E+01  -2.24637179E+00               0               0               0               1
                  139               1               0               0               1              23               0   2.14260457E-01   1.24272653E+00  -1.23647668E+00               0               0               0               1
                  140               1               0               0               1               1               0   7.61736699E-01   2.05867812E+01  -2.05847972E+01               0               0               1               0
                  140               1               0               0               1               2               0  -1.31564135E+01   1.66325161E+01  -1.66077152E+01               0               0               1               0
                  140               1               0               0               1               3               0  -9.19550171E+00   2.06115822E+01  -1.76027297E+01               0               0               1               0
                  140               1               0               0               1               4               0  -5.23280425E+00   7.69752370E+00  -1.46345507E+01               0               0               1               0
                  140               1               0               0               1               5               0   2.22266208E+00   6.70895741E+00  -1.16400828E+01               0               0               2               0
                  140               1               0               0               1               6               0  -1.31564135E+01   1.16624036E+01  -1.16425629E+01               0               0               1               0
                  140               1               0               0               1               7               0   5.68219765E+00   1.66126753E+01  -9.68060849E+00               0               0               1               0
                  140               1               0               0               1               8               0   3.24198155E+00   1.81285100E+01  -9.16921269E+00               0               0               1               0
                  140               1               0               0               1               9               0   1.16504992E+01   3.22476968E+00  -7.18746714E+00               0               0               2               0
                  140               1               0               0               1              10               0  -5.71265323E+00   4.25128144E+00  -8.19096360E+00               0               0               1               0
                  140               1               0               0               1              11               0  -2.70965373E-01   3.71458865E+00  -7.67480602E+00               0               0               1               0
                  140               1               0               0               1              12               0  -6.69149754E+00   1.31534374E+01  -8.18015039E+00               0               0               1               0
                  140               1               0               0               1              13               0  -5.67981676E+00   7.18850878E+00  -6.18020094E+00               0               0               1               0
                  140               1               0               0               1              14               0  -9.93610799E+00   6.94545937E+00  -4.96088652E+00               0               0               2               0
                  140               1               0               0               1              15               0  -1.36871541E+01   1.41216669E+01  -5.20095981E+00               0               0               1               0
                  140               1               0               0               1              16               0   1.72654366E+00   1.66196196E+01  -4.71178567E+00               0               0               1               0
                  140               1               0               0               1              17               0  -7.43780804E-01   5.19332112E+00  -1.24877796E+00               0               0               1               0
                  140               1               0               0               1              18               0   5.21266587E+00   1.71126627E+01  -2.64487363E-01               0               0               1               0
                  140               1               0               0               1              19               0   1.75957854E+00   1.36415203E+01   4.22925818E+00               0               0               1               0
                  140               1               0               0               1              20               0  -1.41603564E+01   1.36534247E+01   6.18109377E+00               0               0               1               0
                  140               1               0               0               1              21               0  -6.69794579E+00   1.31296285E+01  -1.21514786E+01               0               0               0               1
                  140               1               0               0               1              22               0  -7.20864716E+00   1.16633957E+01  -1.16495071E+01               0               0               0               1
                  140               1               0               0               1              23               0  -6.69834260E+00   1.11405914E+01  -8.18401934E+00               0               0               0               1
                  140               1               0               0               1              24               0   2.66292872E-01   1.11445596E+01  -8.17340452E+00               0               0               0               1
                  140               1               0               0               1              25               0   3.20894667E+00   9.16951030E+00  -6.21045811E+00               0               0               0               1
                  140               1               0               0               1              26               0   7.50035606E-01   1.21623910E+01  -6.17816726E+00               0               0               0               2
                  140               1               0               0               1              27               0  -2.42791482E-01   5.70481613E+00  -4.72954316E+00               0               0               0               1
                  140               1               0               0               1              28               0  -2.24230444E+00   8.68430431E+00  -5.69003475E+00               0               0               0               1
                  140               1               0               0               1              29               0   7.46608113E-01   1.01644256E+01  -5.21951093E+00               0               0               0               2
                  140               1               0               0               1              30               0   5.18895615E+00   1.41415076E+01  -5.19699166E+00               0               0               0               1
                  140               1               0               0               1              31               0   1.75501516E+00   5.71602616E+00  -3.70020409E+00               0               0               0               1
                  140               1               0               0               1              32               0   1.23310375E+00   7.20160369E+00  -4.21457601E+00               0               0               0               1
                  140               1               0               0               1              33               0   3.70982687E+00   6.72592127E+00  -3.73056047E+00               0               0               0               1
                  140               1               0               0               1              34               0   6.20599393E+00   7.20924239E+00  -4.22568684E+00               0               0               0               1
                  140               1               0               0               1              35               0  -2.37255908E-01   1.74053140E+00  -2.74665677E+00               0               0               0               1
                  140               1               0               0               1              36               0  -2.23154082E+00   7.18384620E+00  -2.70662802E+00               0               0               0               2
                  140               1               0               0               1              37               0   1.71424239E+00   7.69305952E+00  -2.73395868E+00               0               0               0               1
                  140               1               0               0               1              38               0  -2.74189498E+00   9.17169278E+00  -2.22236446E+00               0               0               0               1
                  140               1               0               0               1              39               0   7.27838746E-01  -2.55588778E-01  -7.34167951E-01               0               0               0               1
                  140               1               0               0               1              40               0  -5.72227600E+00   6.17920890E+00  -1.20899722E+00               0               0               0               1
                  141               1               0               0               1               1               0   1.01912107E+01  -1.36325919E+01  -1.21405662E+01               0               0               1               0
                  141               1               0               0               1               2               0  -8.19116201E+00  -6.22047769E+00   2.47563187E-01               0               0               1               0
                  141               1               0               0               1               3               0  -1.02664974E+00   2.04686655E+00   6.24165321E+00               0               0              11               0
                  141               1               0               0               1               4               0  -1.26455137E+01  -1.86195691E+01   9.68110451E+00               0               0               1               0
                  141               1               0               0               1               5               0  -2.75250979E+00   3.19515734E+00   9.68844560E+00               0               0               1               0
                  141               1               0               0               1               6               0  -1.38801055E+01  -2.47865759E+01   1.58845191E+01               0               0               2               0
                  141               1               0               0               1               7               0  -8.67408631E+00  -1.95957349E+01   1.56335334E+01               0               0               1               0
                  141               1               0               0               1               8               0  -8.67433432E+00  -2.05922375E+01   1.71235751E+01               0               0               2               0
                  141               1               0               0               1               9               0  -1.11703526E+01  -2.30529888E+01   2.00858018E+01               0               0               1               0
                  141               1               0               0               1              10               0  -7.68601605E+00  -1.36365601E+01   1.95907747E+01               0               0               1               0
                  141               1               0               0               1              11               0   7.44544673E-01  -3.39812840E+01   2.60489448E+01               0               0               1               0
                  141               1               0               0               1              12               0  -4.70394857E+00  -1.73874573E+00  -2.47255655E-01               0               0               0               1
                  141               1               0               0               1              13               0  -1.69956022E+00  -3.71220776E+00   7.43026855E-01               0               0               0               1
                  141               1               0               0               1              14               0  -1.73021420E+00  -1.71255592E+00   2.74437508E+00               0               0               0               1
                  141               1               0               0               1              15               0   1.22397700E+00  -7.68046063E-01   2.73633957E+00               0               0               0               1
                  141               1               0               0               1              16               0  -7.56171364E-01   2.73554594E-01   1.72733729E+00               0               0               0               1
                  141               1               0               0               1              17               0   2.32077467E-01   2.22702704E+00   2.72175660E+00               0               0               0               1
                  141               1               0               0               1              18               0  -2.74695438E+00   3.21063314E+00   2.73504992E+00               0               0               0               1
                  141               1               0               0               1              19               0  -2.69923733E-01  -1.23250853E+00   3.24327120E+00               0               0               0               1
                  141               1               0               0               1              20               0   3.21966068E+00   2.52811070E-01   3.72609630E+00               0               0               0               1
                  141               1               0               0               1              21               0  -7.67182990E-01  -1.73953937E+00   4.73103121E+00               0               0               0               1
                  141               1               0               0               1              22               0   2.70786807E+00   1.71989700E+00   5.22089979E+00               0               0               0               1
                  141               1               0               0               1              23               0  -2.57314925E-01   7.41628080E-01   6.18645078E+00               0               0               0               1
                  141               1               0               0               1              24               0   2.72383988E+00   7.30269240E-01   7.20854796E+00               0               0               0               1
                  141               1               0               0               1              25               0  -1.26326172E+00   1.73904335E+00   6.20589473E+00               0               0               0               1
                  141               1               0               0               1              26               0   2.34210350E-01  -7.42272905E-01   9.66552951E+00               0               0               0               1
                  141               1               0               0               1              27               0  -9.18141476E+00  -1.56295653E+01   1.31385568E+01               0               0               0               2
                  141               1               0               0               1              28               0  -8.16249210E+00  -1.51256098E+01   1.21385821E+01               0               0               0               1
                  141               1               0               0               1              29               0  -1.36385442E+01  -1.75928093E+01   1.46325667E+01               0               0               0               1
                  141               1               0               0               1              30               0  -1.01753381E+01  -1.70928219E+01   1.41375395E+01               0               0               0               1
                  141               1               0               0               1              31               0  -1.61087198E+01  -2.10956970E+01   1.61087198E+01               0               0               0               1
                  141               1               0               0               1              32               0  -1.46216542E+01  -2.05857892E+01   1.76057058E+01               0               0               0               1
                  141               1               0               0               1              33               0  -1.11376153E+01  -2.00848098E+01   1.71047264E+01               0               0               0               1
                  142               1               0               0               1               1               0   6.08580848E-01   2.10108777E+00  -1.21333739E-01               0               0               4               0
                  142               1               0               0               1               2               0  -3.22541451E+00  -2.46382661E-01   2.47583028E-01               0               0               1               0
                  142               1               0               0               1               3               0  -1.25473019E+00  -4.20068748E+00   3.23067231E+00               0               0               1               0
                  142               1               0               0               1               4               0   1.73666245E+00   3.72242576E+00   5.19183306E+00               0               0               1               0
                  142               1               0               0               1               5               0  -5.72981549E+00  -1.06673891E+01   6.70647732E+00               0               0               1               0
                  142               1               0               0               1               6               0  -3.96512795E+00  -7.93610893E+00   9.93154461E+00               0               0               2               0
                  142               1               0               0               1               7               0   1.72416277E+00   3.71617591E+00   9.18915266E+00               0               0               1               0
                  142               1               0               0               1               8               0  -6.44824972E+00   4.46789302E+00   1.14010015E+01               0               0               2               0
                  142               1               0               0               1               9               0   5.69648300E+00   4.23084544E+00   1.46246304E+01               0               0               2               0
                  142               1               0               0               1              10               0   1.23161570E+00  -2.74427588E+00   1.56166688E+01               0               0               1               0
                  142               1               0               0               1              11               0   2.20292051E+00  -4.70732150E+00   1.66345002E+01               0               0               1               0
                  142               1               0               0               1              12               0   1.72713889E+00   1.74370593E+00   1.81166056E+01               0               0               1               0
                  142               1               0               0               1              13               0   1.21296537E+00  -3.73304057E+00   2.25807785E+01               0               0               1               0
                  142               1               0               0               1              14               0   1.24173449E+00  -1.75779287E+00   2.95220713E+01               0               0               1               0
                  142               1               0               0               1              15               0   2.07319495E+00  -1.89892687E+00   3.09998778E+01               0               0               3               0
                  142               1               0               0               1              16               0  -3.70873562E+00  -9.64489511E+00   3.24852900E+01               0               0               1               0
                  142               1               0               0               1              17               0  -2.73098256E+00   2.67513080E-01   1.74261468E+00               0               0               0               1
                  142               1               0               0               1              18               0  -2.96614527E+00  -1.97410685E+00   3.46643024E+00               0               0               0               2
                  142               1               0               0               1              19               0  -3.23007709E+00  -2.48644509E-01   3.24664413E+00               0               0               0               1
                  142               1               0               0               1              20               0  -3.74563945E+00   2.21799949E+00   3.73075888E+00               0               0               0               1
                  142               1               0               0               1              21               0  -2.59675976E-01   1.72976779E+00   3.72768356E+00               0               0               0               2
                  142               1               0               0               1              22               0  -2.74774801E+00  -3.71270378E+00   5.68606660E+00               0               0               0               1
                  142               1               0               0               1              23               0  -4.70990080E+00  -1.74817010E+00   4.71148806E+00               0               0               0               1
                  142               1               0               0               1              24               0  -1.90223367E+00  -1.57423270E+00   5.86850246E+00               0               0               0               3
                  142               1               0               0               1              25               0  -2.68713446E+00  -5.68140402E+00   6.70042588E+00               0               0               0               1
