&BOXOKMC18
&VERSION                     2020_06_07

&UDEFSECTION
&BATCHNUM  3
&ENDUDEFSECTION


&TIME           (in s)      0.0000000E+00
&ISTEP                      0
&TSTEP           (in s)      0.0000000E+00
&IPATCH                     1
&ITIMESECTION               1
 
&LATT     lattice length(in A):      3.1652000E+00
&BOXLOW                (in LU):    -1.00000000E+02  -1.00000000E+02  -1.00000000E+02
&BOXSIZE               (in LU):    2.00000000E+02   2.00000000E+02   2.00000000E+02
&NGRAIN        0
!                Seed ID          x(LU)          y(LU)          z(LU)
&BOXSEINDEX                IBox      SEUsedIndexFrom        SEUsedIndexTo      SEExpdIndexFrom        SEExpdIndexTo   SEVirtualIndexFrom     SEVirtualIndexTo
&BOXSEDATA                   83                 2463                 2498                 2463                 2498                 2463                 2498
&BOXSEDATA                   84                 2499                 2524                 2499                 2524                 2499                 2524
&BOXSEDATA                   85                 2525                 2548                 2525                 2548                 2525                 2548
&BOXSEDATA                   86                 2549                 2592                 2549                 2592                 2549                 2592
&BOXSEDATA                   87                 2593                 2629                 2593                 2629                 2593                 2629
&BOXSEDATA                   88                 2630                 2672                 2630                 2672                 2630                 2672
&BOXSEDATA                   89                 2673                 2695                 2673                 2695                 2673                 2695
&BOXSEDATA                   90                 2696                 2735                 2696                 2735                 2696                 2735
&BOXSEDATA                   91                 2736                 2768                 2736                 2768                 2736                 2768
&BOXSEDATA                   92                 2769                 2803                 2769                 2803                 2769                 2803
&BOXSEDATA                   93                 2804                 2830                 2804                 2830                 2804                 2830
&BOXSEDATA                   94                 2831                 2857                 2831                 2857                 2831                 2857
&BOXSEDATA                   95                 2858                 2883                 2858                 2883                 2858                 2883
&BOXSEDATA                   96                 2884                 2907                 2884                 2907                 2884                 2907
&BOXSEDATA                   97                 2908                 2943                 2908                 2943                 2908                 2943
&BOXSEDATA                   98                 2944                 2965                 2944                 2965                 2944                 2965
&BOXSEDATA                   99                 2966                 3003                 2966                 3003                 2966                 3003
&BOXSEDATA                  100                 3004                 3040                 3004                 3040                 3004                 3040
&BOXSEDATA                  101                 3041                 3080                 3041                 3080                 3041                 3080
&BOXSEDATA                  102                 3081                 3113                 3081                 3113                 3081                 3113
&BOXSEDATA                  103                 3114                 3148                 3114                 3148                 3114                 3148
&BOXSEDATA                  104                 3149                 3175                 3149                 3175                 3149                 3175
&BOXSEDATA                  105                 3176                 3202                 3176                 3202                 3176                 3202
&BOXSEDATA                  106                 3203                 3228                 3203                 3228                 3203                 3228
&BOXSEDATA                  107                 3229                 3252                 3229                 3252                 3229                 3252
&BOXSEDATA                  108                 3253                 3288                 3253                 3288                 3253                 3288
&BOXSEDATA                  109                 3289                 3310                 3289                 3310                 3289                 3310
&BOXSEDATA                  110                 3311                 3348                 3311                 3348                 3311                 3348
&BOXSEDATA                  111                 3349                 3385                 3349                 3385                 3349                 3385
&BOXSEDATA                  112                 3386                 3417                 3386                 3417                 3386                 3417
&BOXSEDATA                  113                 3418                 3445                 3418                 3445                 3418                 3445
&BOXSEDATA                  114                 3446                 3473                 3446                 3473                 3446                 3473
&BOXSEDATA                  115                 3474                 3512                 3474                 3512                 3474                 3512
&BOXSEDATA                  116                 3513                 3535                 3513                 3535                 3513                 3535
&BOXSEDATA                  117                 3536                 3556                 3536                 3556                 3536                 3556
&BOXSEDATA                  118                 3557                 3589                 3557                 3589                 3557                 3589
&BOXSEDATA                  119                 3590                 3613                 3590                 3613                 3590                 3613
&BOXSEDATA                  120                 3614                 3637                 3614                 3637                 3614                 3637
&BOXSEDATA                  121                 3638                 3663                 3638                 3663                 3638                 3663
&BOXSEDATA                  122                 3664                 3692                 3664                 3692                 3664                 3692
&BOXSEDATA                  123                 3693                 3725                 3693                 3725                 3693                 3725
