                Step              Time(s)             TStep(s)         NACTClusters         TotalCluster           TotalAtoms       NUM_ACTIVEFREE       NUM_ACTIVEINGB      NUM_OUT_DESTROY       NUM_EXP_DESTRO      NUM_MIS_DESTROY         NUM_ABSORBED       NUM_ANNIHILATE      RMIN_ACTIVEFREE      RMIN_ACTIVEINGB     RMIN_OUT_DESTROY      RMIN_EXP_DESTRO     RMIN_MIS_DESTROY        RMIN_ABSORBED      RMIN_ANNIHILATE      RMAX_ACTIVEFREE      RMAX_ACTIVEINGB     RMAX_OUT_DESTROY      RMAX_EXP_DESTRO     RMAX_MIS_DESTROY        RMAX_ABSORBED      RMAX_ANNIHILATE                 RAVE                 NAVA          Concentrate         TotalImplant      ACUM_ACTIVEFREE      ACUM_ACTIVEINGB     ACUM_OUT_DESTROY      ACUM_EXP_DESTRO     ACUM_MIS_DESTROY        ACUM_ABSORBED      ACUM_ANNIHILATE
                  70       1.87320002E-11       2.76000007E-13                20412                24320                27963                20412                    0                    0                    0                    0                 2862                 1046       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.36811122E-01       1.56716332E-01       1.29002548E+00       1.00577796E+17                    0                20412                    0                    0                    0                    0                 2862                 1046
                  80       2.14920003E-11       2.76000007E-13                20166                24320                27710                20166                    0                    0                    0                    0                 3040                 1114       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.36811122E-01       1.56734760E-01       1.29118318E+00       9.93656591E+16                    0                20166                    0                    0                    0                    0                 3040                 1114
                  90       2.42520004E-11       2.76000007E-13                19942                24320                27532                19942                    0                    0                    0                    0                 3203                 1175       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56767498E-01       1.29274897E+00       9.82619247E+16                    0                19942                    0                    0                    0                    0                 3203                 1175
                 100       2.70120005E-11       2.76000007E-13                19754                24320                27347                19754                    0                    0                    0                    0                 3340                 1226       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56796270E-01       1.29391516E+00       9.73355762E+16                    0                19754                    0                    0                    0                    0                 3340                 1226
                 110       2.97720005E-11       2.76000007E-13                19568                24320                27141                19568                    0                    0                    0                    0                 3468                 1284       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56794190E-01       1.29456255E+00       9.64190825E+16                    0                19568                    0                    0                    0                    0                 3468                 1284
                 120       3.25320006E-11       2.76000007E-13                19411                24320                26982                19411                    0                    0                    0                    0                 3582                 1327       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56816924E-01       1.29534800E+00       9.56454830E+16                    0                19411                    0                    0                    0                    0                 3582                 1327
                 130       3.52920007E-11       2.76000007E-13                19268                24320                26895                19268                    0                    0                    0                    0                 3686                 1366       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56860531E-01       1.29717667E+00       9.49408668E+16                    0                19268                    0                    0                    0                    0                 3686                 1366
                 140       3.80520008E-11       2.76000007E-13                19106                24320                26730                19106                    0                    0                    0                    0                 3804                 1410       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56873171E-01       1.29781221E+00       9.41426303E+16                    0                19106                    0                    0                    0                    0                 3804                 1410
                 150       4.08120008E-11       2.76000007E-13                18984                24320                26600                18984                    0                    0                    0                    0                 3897                 1439       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56860274E-01       1.29782975E+00       9.35414893E+16                    0                18984                    0                    0                    0                    0                 3897                 1439
                 160       4.35720009E-11       2.76000007E-13                18867                24320                26451                18867                    0                    0                    0                    0                 3982                 1471       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56854008E-01       1.29782159E+00       9.29649852E+16                    0                18867                    0                    0                    0                    0                 3982                 1471
                 170       4.63320010E-11       2.76000007E-13                18750                24320                26323                18750                    0                    0                    0                    0                 4070                 1500       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56870528E-01       1.29845333E+00       9.23884810E+16                    0                18750                    0                    0                    0                    0                 4070                 1500
                 180       4.90920010E-11       2.76000007E-13                18638                24320                26210                18638                    0                    0                    0                    0                 4151                 1531       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56886251E-01       1.29906642E+00       9.18366138E+16                    0                18638                    0                    0                    0                    0                 4151                 1531
                 190       5.18520011E-11       2.76000007E-13                18549                24320                26088                18549                    0                    0                    0                    0                 4217                 1554       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56884213E-01       1.29893795E+00       9.13980765E+16                    0                18549                    0                    0                    0                    0                 4217                 1554
                 200       5.46120012E-11       2.76000007E-13                18470                24320                25985                18470                    0                    0                    0                    0                 4274                 1576       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56878948E-01       1.29886302E+00       9.10088131E+16                    0                18470                    0                    0                    0                    0                 4274                 1576
                 210       5.73720013E-11       2.76000007E-13                18388                24320                25899                18388                    0                    0                    0                    0                 4334                 1598       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56895458E-01       1.29943441E+00       9.06047674E+16                    0                18388                    0                    0                    0                    0                 4334                 1598
                 220       6.01320013E-11       2.76000007E-13                18324                24320                25845                18324                    0                    0                    0                    0                 4378                 1618       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56904070E-01       1.29993451E+00       9.02894147E+16                    0                18324                    0                    0                    0                    0                 4378                 1618
                 230       6.28920014E-11       2.76000007E-13                18240                24320                25756                18240                    0                    0                    0                    0                 4442                 1638       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56911223E-01       1.30021930E+00       8.98755144E+16                    0                18240                    0                    0                    0                    0                 4442                 1638
                 240       6.56520015E-11       2.76000007E-13                18177                24320                25739                18177                    0                    0                    0                    0                 4490                 1653       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56928291E-01       1.30109479E+00       8.95650891E+16                    0                18177                    0                    0                    0                    0                 4490                 1653
                 250       6.84120016E-11       2.76000007E-13                18104                24320                25687                18104                    0                    0                    0                    0                 4542                 1674       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56928240E-01       1.30159081E+00       8.92053899E+16                    0                18104                    0                    0                    0                    0                 4542                 1674
                 260       7.11720016E-11       2.76000007E-13                18044                24320                25610                18044                    0                    0                    0                    0                 4588                 1688       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56924438E-01       1.30148526E+00       8.89097468E+16                    0                18044                    0                    0                    0                    0                 4588                 1688
                 270       7.39320017E-11       2.76000007E-13                17981                24320                25512                17981                    0                    0                    0                    0                 4636                 1703       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56916824E-01       1.30115122E+00       8.85993215E+16                    0                17981                    0                    0                    0                    0                 4636                 1703
                 280       7.66920018E-11       2.76000007E-13                17908                24320                25443                17908                    0                    0                    0                    0                 4685                 1727       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56931911E-01       1.30176457E+00       8.82396223E+16                    0                17908                    0                    0                    0                    0                 4685                 1727
                 290       7.94520019E-11       2.76000007E-13                17853                24320                25416                17853                    0                    0                    0                    0                 4727                 1740       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.88644738E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56948294E-01       1.30252619E+00       8.79686161E+16                    0                17853                    0                    0                    0                    0                 4727                 1740
                 300       8.22120019E-11       2.76000007E-13                17785                24320                25336                17785                    0                    0                    0                    0                 4775                 1760       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56956358E-01       1.30244588E+00       8.76335539E+16                    0                17785                    0                    0                    0                    0                 4775                 1760
                 310       8.49720020E-11       2.76000007E-13                17745                24320                25298                17745                    0                    0                    0                    0                 4805                 1770       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56960951E-01       1.30278952E+00       8.74364585E+16                    0                17745                    0                    0                    0                    0                 4805                 1770
                 320       8.77320021E-11       2.76000007E-13                17699                24320                25249                17699                    0                    0                    0                    0                 4837                 1784       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56966663E-01       1.30312447E+00       8.72097987E+16                    0                17699                    0                    0                    0                    0                 4837                 1784
                 330       9.04920021E-11       2.76000007E-13                17665                24320                25222                17665                    0                    0                    0                    0                 4862                 1793       1.37000000E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       1.37000000E-01       1.37000000E-01       3.76914905E-01       0.00000000E+00       0.00000000E+00       0.00000000E+00       0.00000000E+00       3.76914905E-01       2.62825549E-01       1.56968868E-01       1.30336824E+00       8.70422676E+16                    0                17665                    0                    0                    0                    0                 4862                 1793
