                Step                 IBox              Time(s)             TStep(s)         NACTClusters         TotalCluster           TotalAtoms       NUM_ACTIVEFREE       NUM_ACTIVEINGB      NUM_OUT_DESTROY       NUM_EXP_DESTRO      NUM_MIS_DESTROY         NUM_ABSORBED       NUM_ANNIHILATE      RMIN_ACTIVEFREE      RMIN_ACTIVEINGB     RMIN_OUT_DESTROY      RMIN_EXP_DESTRO     RMIN_MIS_DESTROY        RMIN_ABSORBED      RMIN_ANNIHILATE      RMAX_ACTIVEFREE      RMAX_ACTIVEINGB     RMAX_OUT_DESTROY      RMAX_EXP_DESTRO     RMAX_MIS_DESTROY        RMAX_ABSORBED      RMAX_ANNIHILATE                 RAVE                 NAVA          Concentrate         TotalImplant      ACUM_ACTIVEFREE      ACUM_ACTIVEINGB     ACUM_OUT_DESTROY      ACUM_EXP_DESTRO     ACUM_MIS_DESTROY        ACUM_ABSORBED      ACUM_ANNIHILATE
                   0                   12       0.00000000E+00       0.00000000E+00                   32                   32                   44                   32                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.62825549E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.60703540E-01       1.37500000E+00       1.26141073E+17                    0                   32                    0                    0                    0                    0                    0                    0
                   0                   13       0.00000000E+00       0.00000000E+00                   28                   28                   30                   28                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.04133729E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.49868481E-01       1.07142857E+00       1.10373439E+17                    0                   28                    0                    0                    0                    0                    0                    0
                   0                   14       0.00000000E+00       0.00000000E+00                   28                   28                   36                   28                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.62825549E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.56437919E-01       1.28571429E+00       1.10373439E+17                    0                   28                    0                    0                    0                    0                    0                    0
                   0                   15       0.00000000E+00       0.00000000E+00                   39                   39                   48                   39                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.62825549E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.54999330E-01       1.23076923E+00       1.53734432E+17                    0                   39                    0                    0                    0                    0                    0                    0
                   0                   16       0.00000000E+00       0.00000000E+00                   23                   23                   30                   23                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.05922715E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.59687618E-01       1.30434783E+00       9.06638961E+16                    0                   23                    0                    0                    0                    0                    0                    0
                   0                   17       0.00000000E+00       0.00000000E+00                   21                   21                   26                   21                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.36811122E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.54595523E-01       1.23809524E+00       8.27800790E+16                    0                   21                    0                    0                    0                    0                    0                    0
                   0                   18       0.00000000E+00       0.00000000E+00                   33                   33                   46                   33                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.36811122E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.62530956E-01       1.39393939E+00       1.30082981E+17                    0                   33                    0                    0                    0                    0                    0                    0
                   0                   19       0.00000000E+00       0.00000000E+00                   24                   24                   32                   24                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.84793742E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.58221157E-01       1.33333333E+00       9.46058046E+16                    0                   24                    0                    0                    0                    0                    0                    0
                   0                   20       0.00000000E+00       0.00000000E+00                   24                   24                   36                   24                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       3.03996485E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.61270574E-01       1.50000000E+00       9.46058046E+16                    0                   24                    0                    0                    0                    0                    0                    0
                   0                   21       0.00000000E+00       0.00000000E+00                   26                   26                   30                   26                    0                    0                    0                    0                    0                    0       1.37000000E-01       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       1.00000000E+39       2.04133729E-01      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39      -1.00000000E+39       1.53974332E-01       1.15384615E+00       1.02489622E+17                    0                   26                    0                    0                    0                    0                    0                    0
